epoch:	train_RMSD:	train_MAE:	val_RMSD:	val_MAE:	test_RMSD:	test_MAE:
0	5.8037	5.1301	5.9579	5.3177	5.9212	5.2585
1	3.9771	3.1749	4.0703	3.2727	3.9837	3.2011
2	3.9466	3.1464	3.9589	3.1564	3.8847	3.1339
3	3.5889	2.8682	3.6737	2.9564	3.6076	2.9051
4	3.2373	2.5926	3.267	2.6188	3.2003	2.6007
5	3.0514	2.4998	3.101	2.5351	3.0215	2.5295
6	3.0062	2.394	3.0127	2.3813	2.9217	2.3682
7	2.8848	2.3282	2.9113	2.333	2.8206	2.3252
8	2.7272	2.1683	2.7454	2.1757	2.6579	2.1696
9	2.5642	1.9643	2.5594	1.9544	2.4839	1.9486
10	2.4369	1.8647	2.4331	1.8459	2.3735	1.8348
11	2.4132	1.8639	2.4151	1.8522	2.3706	1.8383
12	2.3869	1.8378	2.3852	1.8215	2.3429	1.8113
13	2.3611	1.7691	2.3448	1.7404	2.302	1.7376
14	2.353	1.7488	2.3381	1.7208	2.2928	1.719
15	2.3387	1.7808	2.3447	1.7648	2.2921	1.7567
16	2.3185	1.7509	2.3213	1.7322	2.2678	1.7262
17	2.3013	1.7168	2.2978	1.696	2.2437	1.6932
18	2.2817	1.6971	2.2771	1.6766	2.2217	1.6733
19	2.2584	1.7162	2.273	1.71	2.2074	1.7004
20	2.2345	1.6981	2.2588	1.7054	2.1854	1.69
21	2.1843	1.6238	2.205	1.6213	2.1237	1.6119
22	2.1457	1.5886	2.1746	1.5934	2.0856	1.5826
23	2.1259	1.5564	2.1443	1.5499	2.0591	1.5447
24	2.1026	1.5287	2.1108	1.5144	2.0319	1.5139
25	2.0446	1.5083	2.0602	1.5069	1.9788	1.4917
26	2.0068	1.5029	2.0272	1.5075	1.949	1.4858
27	1.9498	1.4442	1.9492	1.4262	1.886	1.4215
28	1.907	1.4158	1.8866	1.3873	1.844	1.3893
29	1.8713	1.3816	1.8313	1.3387	1.8098	1.3515
30	1.8341	1.3599	1.7934	1.3209	1.7762	1.3313
31	1.7961	1.3344	1.7575	1.297	1.7441	1.308
32	1.7648	1.3182	1.7283	1.2842	1.7192	1.2892
33	1.7277	1.277	1.69	1.236	1.6766	1.2485
34	1.702	1.2648	1.6752	1.2326	1.6563	1.2391
35	1.6682	1.2356	1.6359	1.189	1.6235	1.2089
36	1.7018	1.2855	1.6983	1.281	1.6815	1.2737
37	1.6393	1.2206	1.6133	1.1782	1.5971	1.1943
38	1.6021	1.1891	1.5862	1.1478	1.5616	1.1697
39	1.5791	1.1749	1.5749	1.1507	1.5527	1.1629
40	1.5983	1.1859	1.5901	1.1472	1.5583	1.1705
41	1.5421	1.1526	1.5548	1.141	1.5254	1.1447
42	1.5312	1.142	1.5456	1.1331	1.5141	1.1365
43	1.5101	1.1214	1.5303	1.1119	1.4896	1.1145
44	1.594	1.1832	1.6055	1.1586	1.5505	1.1689
45	1.5679	1.1612	1.5763	1.1354	1.5285	1.1529
46	1.4874	1.1039	1.5199	1.1097	1.478	1.1029
47	1.4679	1.08	1.4996	1.077	1.4515	1.0792
48	1.4595	1.0712	1.4935	1.0698	1.4401	1.0706
49	1.4897	1.1144	1.5237	1.1327	1.4966	1.1223
50	1.4394	1.0545	1.4758	1.0582	1.4277	1.0574
51	1.4663	1.0735	1.4967	1.0656	1.4422	1.0729
52	1.4417	1.0644	1.4839	1.0805	1.4431	1.0719
53	1.4216	1.0415	1.4621	1.0491	1.4201	1.0485
54	1.419	1.0414	1.4587	1.0503	1.4137	1.0467
55	1.411	1.0304	1.4533	1.0346	1.404	1.0334
56	1.4198	1.042	1.4676	1.0563	1.4254	1.0531
57	1.4066	1.0325	1.4534	1.044	1.4054	1.0376
58	1.3931	1.0147	1.4376	1.0199	1.3895	1.018
59	1.3925	1.0166	1.4453	1.0322	1.4046	1.033
60	1.3889	1.011	1.431	1.0149	1.3829	1.0131
61	1.3908	1.0247	1.4368	1.0402	1.3988	1.0313
62	1.3785	1.006	1.4254	1.0128	1.3869	1.0129
63	1.3727	1.0002	1.4283	1.0204	1.3851	1.0174
64	1.4123	1.0527	1.4514	1.0686	1.4398	1.069
65	1.3863	1.0076	1.4355	1.0129	1.3821	1.0129
66	1.3603	0.9973	1.4102	1.0133	1.3742	1.0089
67	1.3423	0.9754	1.4	0.9945	1.3599	0.9903
68	1.3626	0.9956	1.4119	0.9998	1.3687	1.0039
69	1.3435	0.9827	1.4024	1.0025	1.3707	1.0048
70	1.3388	0.9805	1.3859	0.9956	1.3537	0.995
71	1.3438	0.9861	1.4055	1.0119	1.3803	1.0134
72	1.385	1.0155	1.43	1.0207	1.3828	1.0168
73	1.322	0.9699	1.3821	0.9919	1.3524	0.9894
74	1.3292	0.9703	1.3917	0.9818	1.3436	0.9812
75	1.3111	0.9557	1.372	0.98	1.3434	0.9775
76	1.2942	0.9346	1.3612	0.9567	1.3216	0.9534
77	1.2872	0.9367	1.3543	0.9583	1.3134	0.956
78	1.3013	0.9514	1.3564	0.964	1.3235	0.9644
79	1.2999	0.947	1.3709	0.9745	1.3388	0.977
80	1.2664	0.9189	1.3354	0.9397	1.3039	0.9403
81	1.2647	0.9157	1.3386	0.9435	1.3005	0.9405
82	1.2616	0.9192	1.3284	0.9403	1.2937	0.9385
83	1.2834	0.9353	1.3535	0.9507	1.3087	0.9534
84	1.2652	0.9298	1.3322	0.9527	1.3056	0.9491
85	1.2813	0.9431	1.3582	0.9694	1.3341	0.9745
86	1.2466	0.9131	1.3191	0.9303	1.2865	0.9326
87	1.3174	0.9752	1.3787	0.98	1.3328	0.9876
88	1.2771	0.9378	1.3569	0.9691	1.3354	0.9737
89	1.2226	0.8802	1.3074	0.9075	1.2681	0.9095
90	1.2562	0.9295	1.3288	0.9411	1.2895	0.9476
91	1.2311	0.8961	1.3106	0.9221	1.2861	0.9269
92	1.2024	0.8663	1.2889	0.8912	1.2504	0.8935
93	1.2036	0.8787	1.2863	0.899	1.255	0.9053
94	1.1911	0.8569	1.2757	0.8809	1.2408	0.8849
95	1.1858	0.8551	1.2756	0.8805	1.2327	0.8822
96	1.1813	0.8493	1.2756	0.8786	1.2431	0.8839
97	1.2199	0.8946	1.2994	0.9149	1.2605	0.9132
98	1.2005	0.8722	1.2915	0.9043	1.2646	0.9132
99	1.1641	0.8399	1.2645	0.8725	1.232	0.8755
100	1.1729	0.8489	1.2655	0.8754	1.2271	0.8768
101	1.2354	0.9134	1.3198	0.9458	1.3067	0.957
102	1.2021	0.8816	1.2902	0.9025	1.2497	0.9051
103	1.1541	0.8383	1.2512	0.868	1.2224	0.8762
104	1.1446	0.8233	1.2433	0.8523	1.2129	0.8606
105	1.1459	0.8302	1.2486	0.8634	1.2186	0.8701
106	1.1639	0.8453	1.2618	0.8781	1.2424	0.8932
107	1.1588	0.8355	1.2534	0.8637	1.2168	0.8672
108	1.1298	0.8109	1.237	0.8466	1.2088	0.8568
109	1.1406	0.8334	1.2417	0.8575	1.2144	0.8701
110	1.1314	0.8197	1.2308	0.8532	1.2122	0.8712
111	1.1279	0.8119	1.2338	0.8485	1.2163	0.8615
112	1.13	0.807	1.2345	0.8358	1.2076	0.8518
113	1.1196	0.8084	1.2227	0.8382	1.2046	0.856
114	1.1185	0.8058	1.2217	0.8383	1.2002	0.8546
115	1.1208	0.8143	1.2292	0.844	1.2024	0.852
116	1.1897	0.8812	1.2792	0.9172	1.2738	0.9347
117	1.1539	0.8546	1.2537	0.8824	1.2215	0.8832
118	1.1099	0.7954	1.2162	0.8218	1.1914	0.8387
119	1.1077	0.7993	1.212	0.8355	1.1944	0.8521
120	1.11	0.7885	1.2146	0.8169	1.182	0.8303
121	1.1144	0.8057	1.2231	0.8423	1.2132	0.8658
122	1.0873	0.7771	1.1971	0.8097	1.1697	0.8222
123	1.0902	0.7749	1.197	0.8052	1.1729	0.8203
124	1.082	0.7756	1.1924	0.8105	1.1717	0.8264
125	1.0811	0.7768	1.1926	0.8061	1.1734	0.8241
126	1.0734	0.768	1.1877	0.8039	1.1662	0.8206
127	1.1083	0.8142	1.2189	0.8456	1.1883	0.8517
128	1.1075	0.8036	1.2136	0.8411	1.2031	0.8648
129	1.1272	0.8296	1.2322	0.8562	1.2056	0.864
130	1.0875	0.7842	1.1975	0.8176	1.184	0.8404
131	1.1001	0.7985	1.2101	0.8246	1.1804	0.8365
132	1.0793	0.7804	1.1955	0.8164	1.1792	0.8387
133	1.068	0.7619	1.1837	0.7943	1.1593	0.8118
134	1.1119	0.8042	1.2117	0.831	1.1833	0.8414
135	1.0876	0.7862	1.2034	0.8198	1.192	0.8482
136	1.0568	0.7554	1.1736	0.7869	1.155	0.8089
137	1.0632	0.755	1.1718	0.7878	1.1481	0.8045
138	1.0852	0.7831	1.2044	0.8235	1.1924	0.8451
139	1.0571	0.7621	1.1795	0.7994	1.1589	0.8185
140	1.0497	0.7447	1.167	0.7821	1.1427	0.799
141	1.0408	0.7381	1.1643	0.7716	1.1429	0.7919
142	1.0434	0.7441	1.1628	0.7815	1.1435	0.804
143	1.0491	0.7551	1.1829	0.7918	1.1599	0.8117
144	1.0534	0.7598	1.1688	0.7949	1.1426	0.807
