epoch:	train_RMSD:	train_MAE:
0	7.0241	6.1321
1	6.7996	5.8762
2	5.7916	4.7034
3	4.5039	3.2705
4	4.104	2.9504
5	3.9183	2.8518
6	3.7846	2.8069
7	3.6771	2.7892
8	3.5908	2.7887
9	3.5246	2.7979
10	3.4806	2.813
11	3.4558	2.8303
12	3.4444	2.8455
13	3.4403	2.8574
14	3.4391	2.8656
15	3.4391	2.8715
16	3.4393	2.8751
17	3.4395	2.877
18	3.4396	2.8772
19	3.4395	2.877
20	3.4393	2.8751
21	3.4392	2.874
22	3.4391	2.8721
23	3.439	2.8701
24	3.439	2.8708
25	3.4391	2.8718
26	3.4391	2.8726
27	3.4391	2.8731
28	3.4389	2.8717
29	3.4387	2.8697
30	3.4386	2.8695
31	3.4384	2.8688
32	3.4382	2.8686
33	3.438	2.8688
34	3.4378	2.8704
35	3.4377	2.8732
36	3.4375	2.8744
37	3.437	2.8732
38	3.4362	2.872
39	3.4348	2.8658
40	3.433	2.8624
41	3.4305	2.8618
42	3.427	2.8566
43	3.4221	2.8512
44	3.4156	2.8448
45	3.4074	2.8373
46	3.3975	2.8291
47	3.3838	2.8136
48	3.3647	2.7915
49	3.3312	2.747
50	3.2826	2.6877
51	3.2087	2.5941
52	3.0906	2.4325
53	2.9443	2.2217
54	2.7903	2.0033
55	2.6639	1.8545
56	2.5789	1.7638
57	2.5236	1.7097
58	2.4881	1.6593
59	2.4658	1.6359
60	2.4521	1.6203
61	2.4388	1.6087
62	2.4182	1.6029
63	2.3969	1.5959
64	2.3567	1.5716
65	2.3591	1.5713
66	2.3541	1.5651
67	2.3378	1.5452
68	2.3401	1.5572
69	2.3215	1.5366
70	2.3111	1.5266
71	2.3033	1.5172
72	2.2874	1.5032
73	2.282	1.5097
74	2.2726	1.5011
75	2.2447	1.4726
76	2.2511	1.4889
77	2.2284	1.4611
78	2.2252	1.4535
79	2.2135	1.4498
80	2.2087	1.4493
81	2.1926	1.4245
82	2.1933	1.4266
83	2.189	1.4329
84	2.1774	1.4079
85	2.1669	1.41
86	2.164	1.4096
87	2.1476	1.4026
88	2.1262	1.3725
89	2.1101	1.3793
90	2.0928	1.3527
91	2.0566	1.3364
92	2.0583	1.3593
93	2.0449	1.3545
94	2.0323	1.3209
95	2.0505	1.38
96	1.9805	1.2809
97	1.9533	1.2615
98	1.9477	1.2712
99	1.9516	1.2617
100	1.9293	1.2623
101	1.8885	1.2107
102	1.8733	1.2043
103	1.861	1.185
104	1.8807	1.2263
105	1.9243	1.2546
106	1.8818	1.2348
107	1.8149	1.1594
108	1.8063	1.156
109	1.8048	1.1675
110	1.8791	1.2275
111	1.8376	1.2107
112	1.8011	1.1612
113	1.7578	1.1274
114	1.7474	1.1209
115	1.7406	1.1146
116	1.7241	1.0969
117	1.7131	1.1007
118	1.733	1.1123
119	1.7039	1.1026
120	1.6999	1.1039
121	1.6997	1.0858
122	1.6689	1.0733
123	1.6728	1.0829
124	1.6943	1.0894
125	1.7437	1.1568
126	1.7194	1.113
127	1.6507	1.0635
128	1.6392	1.0588
129	1.633	1.0483
130	1.6304	1.0514
131	1.6422	1.051
132	1.6108	1.0354
133	1.6453	1.0665
134	1.6018	1.03
