epoch:	train_RMSD:	train_MAE:	val_RMSD:	val_MAE:	test_RMSD:	test_MAE:
0	5.9377	4.8022	5.973	4.7803	5.9583	4.8211
1	4.3953	3.3107	4.3994	3.1862	4.6398	3.4093
2	4.318	3.3518	4.3373	3.2295	4.5681	3.451
3	3.9363	2.9721	3.9779	2.8698	4.011	3.0018
4	3.5718	2.9171	3.6523	2.8286	3.6245	2.9225
5	3.4928	2.8892	3.6026	2.8506	3.5104	2.8668
6	3.484	2.8966	3.5935	2.8645	3.4952	2.8707
7	3.4678	2.8807	3.5706	2.8398	3.4805	2.8595
8	3.4718	2.9098	3.5677	2.855	3.4933	2.8979
9	3.4534	2.8535	3.5528	2.809	3.4658	2.8344
10	3.4322	2.8426	3.5324	2.8002	3.4419	2.822
11	3.3884	2.7933	3.4891	2.7496	3.3978	2.775
12	3.3214	2.7283	3.4207	2.675	3.336	2.7141
13	3.2801	2.6598	3.3763	2.6062	3.3035	2.6567
14	3.2305	2.5966	3.3255	2.5464	3.2547	2.596
15	3.1568	2.4871	3.2584	2.4395	3.1795	2.4937
16	3.1571	2.5192	3.2543	2.4731	3.2101	2.5384
17	3.0883	2.4554	3.1865	2.4034	3.1382	2.4749
18	2.9348	2.2124	3.053	2.1892	2.9699	2.2376
19	2.8251	2.102	2.947	2.0671	2.8661	2.1353
20	2.7245	2.0175	2.8458	1.976	2.7555	2.041
21	2.7644	2.0317	2.8884	2.0093	2.8056	2.049
22	2.6618	1.9391	2.7958	1.9076	2.6922	1.9593
23	2.5767	1.8094	2.7168	1.7788	2.6006	1.8279
24	2.658	1.9074	2.7955	1.8879	2.681	1.9178
25	2.6197	1.8612	2.7635	1.8436	2.6538	1.8815
26	2.4918	1.7002	2.6418	1.6808	2.5108	1.7184
27	2.4748	1.6704	2.6223	1.6416	2.4863	1.6732
28	2.4703	1.6866	2.6183	1.6567	2.4877	1.7013
29	2.4296	1.6285	2.5842	1.6028	2.44	1.6391
30	2.4425	1.6266	2.5934	1.6043	2.451	1.6385
31	2.3823	1.583	2.5383	1.5556	2.3851	1.5908
32	2.3828	1.5693	2.5416	1.5582	2.3989	1.5834
33	2.351	1.552	2.5114	1.5244	2.355	1.5583
34	2.3448	1.5249	2.5019	1.5111	2.3428	1.5318
35	2.3122	1.528	2.479	1.5038	2.315	1.5317
36	2.2495	1.4591	2.415	1.4404	2.2644	1.4737
37	2.2269	1.4653	2.3988	1.4444	2.2386	1.475
38	2.1575	1.4152	2.3415	1.3925	2.1642	1.4305
39	2.1782	1.4448	2.3551	1.4246	2.1856	1.4768
40	2.06	1.3622	2.2889	1.3574	2.0922	1.3831
41	2.035	1.3604	2.2597	1.3497	2.0521	1.382
42	1.9642	1.3118	2.2276	1.3129	2.0247	1.3452
43	2.1017	1.4667	2.3268	1.4627	2.1029	1.4703
44	1.8974	1.2605	2.1713	1.2733	1.9307	1.2849
45	1.8638	1.2283	2.1396	1.2352	1.9195	1.2689
46	1.8844	1.2534	2.18	1.2823	1.9382	1.2802
47	1.8544	1.2385	2.1211	1.2426	1.8857	1.2633
48	1.8163	1.2187	2.1028	1.2318	1.8718	1.256
49	1.816	1.2089	2.1185	1.2436	1.8762	1.2441
50	1.8174	1.2227	2.1187	1.2534	1.8844	1.2598
51	1.7575	1.1735	2.0569	1.2	1.8263	1.2176
52	1.7293	1.1729	2.05	1.2109	1.8041	1.2147
53	1.789	1.2391	2.0678	1.2432	1.8445	1.2663
54	1.69	1.1401	1.9941	1.1659	1.7661	1.1834
55	1.8697	1.2852	2.1382	1.3093	1.9371	1.3164
56	1.7737	1.2055	2.0696	1.2409	1.8487	1.2449
57	1.7388	1.1677	2.0309	1.1987	1.8112	1.2061
58	1.6622	1.1182	1.9623	1.1469	1.7475	1.16
