epoch:	train_RMSD:	train_MAE:	val_RMSD:	val_MAE:	test_RMSD:	test_MAE:
0	5.9433	5.2875	6.0967	5.474	6.0625	5.4163
1	4.0146	3.212	4.1264	3.3339	4.0392	3.2535
2	4.1368	3.286	4.1417	3.2757	4.0561	3.2596
3	3.6428	2.9159	3.7354	3.0137	3.6662	2.9579
4	3.2808	2.626	3.3247	2.668	3.258	2.6428
5	3.0516	2.4685	3.0829	2.4873	3.0066	2.4841
6	3.0039	2.4372	3.0322	2.4424	2.9431	2.4341
7	2.9367	2.3852	2.9691	2.3953	2.8792	2.3872
8	2.799	2.2265	2.8142	2.2259	2.7242	2.2212
9	2.6111	2.0417	2.6212	2.0461	2.5371	2.0378
10	2.4414	1.871	2.4419	1.8609	2.373	1.8518
11	2.3882	1.8235	2.3852	1.8116	2.3386	1.8028
12	2.3745	1.8019	2.3688	1.7864	2.3268	1.7776
13	2.3615	1.7983	2.3539	1.781	2.3118	1.773
14	2.3459	1.7562	2.3255	1.7318	2.2811	1.7267
15	2.3347	1.7602	2.3236	1.7418	2.2727	1.7344
16	2.3272	1.7735	2.3275	1.76	2.2733	1.7534
17	2.3092	1.7347	2.304	1.7196	2.2492	1.7122
18	2.2947	1.7093	2.2896	1.6956	2.2325	1.6864
19	2.2724	1.6984	2.272	1.6877	2.2119	1.6782
20	2.2575	1.7192	2.2743	1.7205	2.2056	1.7034
21	2.2175	1.6437	2.2241	1.6355	2.1516	1.6232
22	2.1762	1.6058	2.1927	1.6029	2.108	1.586
23	2.1293	1.5654	2.149	1.5634	2.0598	1.546
24	2.1065	1.5872	2.1344	1.5968	2.0477	1.5688
25	2.0619	1.5365	2.0723	1.5318	1.9961	1.507
26	2.016	1.4743	2.0109	1.4559	1.9427	1.4426
27	2.0033	1.4425	1.9852	1.4073	1.9242	1.4072
28	1.9376	1.4037	1.922	1.3755	1.8685	1.3752
29	1.9054	1.417	1.894	1.3998	1.8545	1.3919
30	1.8757	1.3618	1.8427	1.3207	1.8121	1.3339
31	1.8136	1.3301	1.7802	1.2975	1.7591	1.3024
32	1.8014	1.352	1.7788	1.3362	1.7605	1.3299
