epoch:	train_RMSD:	train_MAE:
0	6.919	6.303
1	6.7705	6.1485
2	6.2629	5.6204
3	4.9035	4.2453
4	4.1254	3.5188
5	3.8371	3.2618
6	3.6699	3.1172
7	3.5408	3.0058
8	3.4332	2.9112
9	3.3427	2.8303
10	3.2681	2.7614
11	3.2102	2.7044
12	3.1699	2.661
13	3.1453	2.6302
14	3.1315	2.6085
15	3.1249	2.5947
16	3.122	2.5861
17	3.1209	2.581
18	3.1206	2.5783
19	3.1206	2.5779
20	3.1207	2.5793
21	3.1207	2.5793
22	3.1208	2.5799
23	3.1208	2.5801
24	3.1208	2.5803
25	3.1209	2.5808
26	3.1208	2.5804
27	3.1209	2.5806
28	3.1208	2.5804
29	3.1208	2.5804
30	3.1209	2.5809
31	3.1209	2.5806
32	3.1207	2.5796
33	3.1208	2.58
34	3.1208	2.5798
35	3.1207	2.5795
36	3.1207	2.5794
37	3.1208	2.5804
38	3.1209	2.5808
39	3.1209	2.5807
40	3.1208	2.5805
41	3.1208	2.5804
42	3.1209	2.5806
43	3.121	2.5812
44	3.1209	2.5809
45	3.1208	2.5805
46	3.1209	2.5807
47	3.1209	2.581
48	3.1209	2.5808
49	3.1209	2.5811
50	3.121	2.5814
51	3.1209	2.5808
52	3.1209	2.5808
53	3.1209	2.5807
54	3.1209	2.5806
55	3.1209	2.5805
56	3.1207	2.5796
57	3.1208	2.5799
58	3.1208	2.5799
59	3.1208	2.5801
60	3.121	2.5815
61	3.121	2.5816
62	3.1208	2.5803
63	3.1208	2.5801
64	3.1208	2.5801
65	3.1208	2.5801
66	3.1208	2.58
67	3.121	2.5818
68	3.1211	2.5821
69	3.121	2.5815
70	3.1211	2.5823
71	3.1209	2.5811
72	3.1209	2.5807
73	3.1209	2.581
74	3.1209	2.5807
75	3.1208	2.5805
76	3.1209	2.5806
77	3.1209	2.5808
78	3.1208	2.5802
79	3.1208	2.5802
80	3.1209	2.5806
81	3.1209	2.5812
82	3.1209	2.5807
83	3.1207	2.5799
84	3.1208	2.5802
85	3.1208	2.5808
86	3.1208	2.5809
87	3.1207	2.5801
88	3.1207	2.5807
89	3.1203	2.5812
90	3.1193	2.5812
91	3.1182	2.5796
92	3.1171	2.5784
93	3.1154	2.5756
94	3.1132	2.5729
95	3.11	2.5695
96	3.1062	2.5664
97	3.0992	2.5596
98	3.0783	2.5437
99	2.9879	2.4686
100	2.7229	2.2598
101	2.5342	2.0393
102	2.4029	1.9103
103	2.3062	1.7826
104	2.2414	1.7118
105	2.1943	1.6519
106	2.1689	1.6217
107	2.1514	1.5997
108	2.1389	1.5876
109	2.1246	1.5765
110	2.1102	1.5572
111	2.0969	1.5633
112	2.0786	1.5529
113	2.0613	1.5418
114	2.0471	1.5354
115	2.0212	1.5142
116	1.9923	1.486
117	1.965	1.472
118	1.9337	1.4464
119	1.8835	1.4163
120	1.8346	1.3799
121	1.7968	1.3504
122	1.7841	1.3489
123	1.76	1.3246
124	1.7343	1.3043
125	1.6992	1.2756
126	1.6833	1.265
127	1.6574	1.2434
128	1.6299	1.2293
129	1.6076	1.2117
130	1.5949	1.1997
131	1.564	1.1769
132	1.5501	1.164
133	1.5304	1.1464
134	1.5159	1.1356
135	1.4996	1.1215
136	1.5226	1.1401
137	1.4666	1.0901
138	1.4583	1.0814
139	1.4549	1.0798
140	1.4305	1.0555
141	1.4194	1.0399
142	1.4384	1.0618
143	1.4057	1.0314
144	1.4243	1.0426
145	1.3932	1.0194
146	1.3892	1.0214
147	1.3665	0.9944
148	1.355	0.9831
149	1.3734	1.0013
150	1.3503	0.9848
151	1.3519	0.9879
152	1.3332	0.966
153	1.3206	0.9558
154	1.3272	0.9654
155	1.3192	0.9572
156	1.3135	0.9507
157	1.3125	0.9526
158	1.2955	0.9378
159	1.3016	0.9409
160	1.2801	0.9245
161	1.3023	0.947
162	1.2985	0.9443
163	1.2805	0.933
164	1.2852	0.9293
165	1.2651	0.9189
166	1.2525	0.9019
167	1.2552	0.9107
168	1.2487	0.9021
169	1.2342	0.8896
170	1.2378	0.8918
171	1.2374	0.8943
172	1.2183	0.877
173	1.2231	0.884
174	1.2394	0.8997
175	1.214	0.8794
176	1.2168	0.8831
177	1.264	0.9245
178	1.2329	0.8941
179	1.2059	0.8756
180	1.2046	0.8702
181	1.1916	0.8578
182	1.2056	0.8774
183	1.1819	0.85
184	1.1828	0.8505
185	1.2042	0.8687
186	1.1637	0.8361
187	1.1773	0.852
188	1.1571	0.833
189	1.152	0.8257
190	1.146	0.8228
191	1.1495	0.8298
192	1.1395	0.8168
193	1.1385	0.8185
194	1.1543	0.8364
195	1.1533	0.8391
196	1.1457	0.838
197	1.1271	0.8104
198	1.1114	0.797
199	1.116	0.8055
200	1.1188	0.8069
201	1.1617	0.8544
202	1.1181	0.8086
203	1.1008	0.7935
204	1.1433	0.8348
205	1.1018	0.7968
206	1.0887	0.7855
207	1.1032	0.7991
208	1.0865	0.7827
209	1.0706	0.7667
210	1.0695	0.7668
211	1.078	0.7822
212	1.1013	0.8008
213	1.06	0.7615
214	1.0866	0.7865
215	1.0699	0.7689
216	1.0687	0.7712
217	1.081	0.7874
218	1.047	0.7543
219	1.0495	0.7526
220	1.0541	0.7551
221	1.0339	0.7405
222	1.0383	0.7479
223	1.0373	0.7445
224	1.0443	0.7496
225	1.0198	0.727
226	1.0184	0.7278
227	1.0189	0.7314
228	1.028	0.7401
229	1.0168	0.7283
230	1.0249	0.7378
231	1.0077	0.7175
232	1.0102	0.7233
233	0.9994	0.7127
234	1.0052	0.7159
235	1.0208	0.7329
236	1.0295	0.7428
237	1.0117	0.7246
238	1.0084	0.7225
239	0.9903	0.7057
240	0.9927	0.7046
241	0.9918	0.7049
242	1.0047	0.7221
243	0.9922	0.715
244	0.9959	0.7119
245	1.0424	0.7621
246	1.0479	0.7662
247	1.0013	0.7199
248	1.0066	0.7249
249	0.9842	0.6995
250	0.9738	0.6918
251	0.9736	0.6909
252	0.9668	0.6849
253	0.9638	0.6836
254	0.9656	0.6835
255	0.9841	0.707
256	0.995	0.7157
257	0.9584	0.6806
258	0.9716	0.6947
259	0.955	0.6794
260	0.9524	0.6766
261	0.9531	0.6742
262	0.9426	0.6675
263	0.9455	0.6698
264	0.9539	0.6822
265	0.9522	0.6797
266	0.9401	0.6672
267	0.9364	0.6617
268	0.9326	0.6577
269	0.9399	0.6674
270	0.9399	0.6677
271	0.9484	0.6751
272	0.9419	0.6709
273	0.9292	0.6598
274	0.9316	0.6624
275	0.935	0.6646
276	0.9288	0.6612
277	0.9195	0.6511
278	0.9262	0.655
279	0.9177	0.6499
280	0.9242	0.6552
281	0.9216	0.6534
282	0.9105	0.6436
283	0.9087	0.6414
284	0.9152	0.6499
285	0.9415	0.6776
286	0.9424	0.6771
287	0.9104	0.6464
288	0.9138	0.65
289	0.9165	0.6499
290	0.9026	0.6378
291	0.9044	0.6384
292	0.8964	0.6327
293	0.8961	0.6319
294	0.8975	0.6327
295	0.9049	0.646
296	0.9106	0.6512
297	0.8998	0.642
298	0.9031	0.6399
299	0.8956	0.6341
300	0.8889	0.6265
301	0.8874	0.6279
302	0.8883	0.6284
303	0.9012	0.641
304	0.8809	0.622
305	0.8817	0.6227
306	0.8937	0.6405
307	0.932	0.6755
308	0.8853	0.6281
309	0.8948	0.636
310	0.9231	0.6687
311	0.8755	0.6209
312	0.8839	0.63
313	0.882	0.6238
314	0.8707	0.6151
315	0.871	0.6161
316	0.8758	0.6214
317	0.8691	0.6154
318	0.8833	0.6285
319	0.8631	0.6091
320	0.863	0.61
321	0.8633	0.611
322	0.8672	0.6179
323	0.8581	0.6047
324	0.86	0.6082
325	0.8533	0.6045
326	0.8551	0.6055
327	0.8714	0.6224
328	0.8945	0.6447
329	0.8658	0.6157
330	0.8752	0.627
331	0.8815	0.6338
332	0.858	0.6083
333	0.8546	0.6045
334	0.8538	0.6071
335	0.9017	0.6571
336	0.8591	0.6101
337	0.8617	0.6169
338	0.8686	0.6223
339	0.8613	0.6157
340	0.8482	0.6026
341	0.8397	0.5933
342	0.8393	0.5942
343	0.8395	0.5958
344	0.8396	0.5961
