epoch:	train_RMSD:	train_MAE:
0	7.0257	6.1157
1	6.44	5.4419
2	4.6517	3.3953
3	4.1168	2.9531
4	3.9019	2.848
5	3.749	2.8109
6	3.6326	2.8046
7	3.5493	2.815
8	3.5008	2.8338
9	3.4804	2.853
10	3.4741	2.8686
11	3.4732	2.8786
12	3.4733	2.8828
13	3.4734	2.8837
14	3.4733	2.8829
15	3.4732	2.8808
16	3.4732	2.8807
17	3.4731	2.8792
18	3.4732	2.8801
19	3.4732	2.8818
20	3.4733	2.883
21	3.4731	2.8808
22	3.473	2.8804
23	3.4727	2.879
24	3.4725	2.8806
25	3.4722	2.8799
26	3.4718	2.8788
27	3.4713	2.8761
28	3.4708	2.8768
29	3.4701	2.8781
30	3.4686	2.8747
31	3.4662	2.873
32	3.4619	2.8681
33	3.4559	2.8623
34	3.4469	2.85
35	3.4344	2.8412
36	3.4153	2.8191
37	3.385	2.7837
38	3.3153	2.6914
39	3.2048	2.5461
40	3.0241	2.3016
41	2.8193	2.0037
42	2.6716	1.8239
43	2.5846	1.7238
44	2.5339	1.679
45	2.5017	1.6411
46	2.4876	1.6308
47	2.4594	1.6157
48	2.4299	1.5875
49	2.3892	1.5583
50	2.3753	1.55
51	2.3531	1.5392
52	2.337	1.5266
53	2.3226	1.51
54	2.2966	1.4873
55	2.2874	1.4757
56	2.2818	1.4745
57	2.2711	1.4601
58	2.2613	1.4529
59	2.2531	1.4514
60	2.2526	1.4551
61	2.2355	1.4272
62	2.2281	1.4164
63	2.213	1.4057
64	2.207	1.4068
65	2.2011	1.3992
66	2.1831	1.3784
67	2.1699	1.3706
68	2.1948	1.428
69	2.1284	1.343
70	2.0734	1.3156
71	2.0606	1.3065
72	2.0054	1.268
73	2.0216	1.3262
74	2.0192	1.3191
75	1.9421	1.2279
76	1.9251	1.2171
77	1.9051	1.1934
78	1.8959	1.1831
79	1.8749	1.1807
80	1.9076	1.2028
81	1.8682	1.1726
82	1.8331	1.1482
83	1.8211	1.1371
84	1.8118	1.1319
85	1.7979	1.1278
86	1.7919	1.1332
87	1.7794	1.1125
88	1.7929	1.1246
89	1.7581	1.0993
90	1.7508	1.0907
91	1.773	1.1382
92	1.8209	1.1991
93	1.7247	1.0835
94	1.7271	1.0777
95	1.7016	1.0646
96	1.6915	1.0594
97	1.7075	1.0924
98	1.7285	1.1183
99	1.682	1.0543
100	1.6779	1.0458
101	1.6654	1.0363
102	1.6533	1.032
103	1.636	1.0213
104	1.6258	1.017
105	1.6324	1.0302
106	1.6346	1.0396
107	1.6074	1.0045
108	1.637	1.0221
109	1.6912	1.0669
110	1.6759	1.0632
111	1.6038	1.001
112	1.5945	1.0099
113	1.5962	1.0144
114	1.6012	1.0258
115	1.5811	0.9791
116	1.599	1.0114
117	1.6212	1.0298
118	1.5569	0.9742
