epoch:	train_RMSD:	train_MAE:
0	7.0257	6.1157
1	6.44	5.4419
2	4.6517	3.3953
3	4.1168	2.9531
4	3.9019	2.848
5	3.749	2.8109
6	3.6326	2.8046
7	3.5493	2.815
8	3.5008	2.8338
9	3.4804	2.853
10	3.4741	2.8686
11	3.4732	2.8786
12	3.4734	2.8831
13	3.4735	2.8845
14	3.4734	2.8839
15	3.4732	2.8818
16	3.4732	2.8802
17	3.4731	2.8788
18	3.4732	2.8802
19	3.4733	2.8825
20	3.4733	2.8828
21	3.4731	2.8807
22	3.4729	2.8803
23	3.4727	2.8789
24	3.4725	2.8803
25	3.4722	2.8798
26	3.4718	2.8803
27	3.4713	2.878
28	3.4708	2.8775
29	3.47	2.8779
30	3.4685	2.8746
31	3.466	2.8722
32	3.4618	2.8668
33	3.4556	2.8603
34	3.4465	2.8491
35	3.4342	2.8419
36	3.4151	2.8186
37	3.384	2.7845
38	3.3204	2.7025
39	3.2247	2.5824
40	3.0606	2.3567
41	2.8639	2.0695
42	2.7068	1.8728
43	2.6032	1.7462
44	2.5462	1.6919
45	2.5098	1.6495
46	2.4921	1.6342
47	2.4682	1.616
48	2.4433	1.5998
49	2.4049	1.5749
50	2.3823	1.5584
51	2.3666	1.5373
52	2.3559	1.5343
53	2.346	1.5278
54	2.3197	1.5097
55	2.2995	1.4828
56	2.2914	1.4838
57	2.2806	1.4674
58	2.2707	1.4609
59	2.2617	1.4552
60	2.2554	1.45
61	2.2443	1.437
62	2.2355	1.4243
63	2.2226	1.4151
64	2.2135	1.4029
65	2.2109	1.4059
66	2.191	1.3849
67	2.1777	1.3784
68	2.1866	1.4114
69	2.1344	1.3447
70	2.0889	1.3244
71	2.0885	1.3246
72	2.0284	1.2854
73	2.0205	1.3052
74	2.0067	1.2948
75	1.966	1.2547
76	1.9283	1.2108
77	1.9464	1.2492
78	1.9136	1.2133
79	1.932	1.2459
80	1.8677	1.1691
81	1.8516	1.1574
82	1.853	1.178
83	1.8319	1.1446
84	1.8287	1.1505
85	1.7904	1.1135
86	1.7771	1.1128
87	1.7694	1.1069
88	1.8104	1.1533
89	1.7629	1.1018
90	1.7631	1.1018
91	1.7341	1.0849
92	1.7991	1.169
93	1.723	1.0885
94	1.6994	1.0626
95	1.7063	1.0766
96	1.6883	1.0607
97	1.6788	1.0599
98	1.6701	1.0518
99	1.7121	1.0944
100	1.6752	1.0674
101	1.6667	1.0627
102	1.6368	1.0216
103	1.6333	1.0265
104	1.628	1.0157
105	1.6248	1.0215
106	1.6317	1.0354
107	1.6016	1.0018
108	1.6372	1.0295
109	1.6605	1.0443
110	1.6688	1.0563
111	1.5951	0.997
112	1.6047	1.0208
113	1.5945	1.0112
114	1.5765	0.9951
115	1.5741	0.979
116	1.5637	0.9836
117	1.5631	0.9797
118	1.553	0.978
