epoch:	train_RMSD:	train_MAE:
0	7.0257	6.1157
1	6.44	5.4419
2	4.6517	3.3953
3	4.1168	2.9531
4	3.9019	2.848
5	3.749	2.8109
6	3.6326	2.8046
7	3.5493	2.815
8	3.5008	2.8338
9	3.4804	2.853
10	3.4741	2.8686
11	3.4732	2.8786
12	3.4733	2.8827
13	3.4735	2.8847
14	3.4734	2.8838
15	3.4732	2.8819
16	3.4732	2.8802
17	3.4731	2.879
18	3.4731	2.88
19	3.4732	2.8823
20	3.4732	2.8815
21	3.473	2.8786
22	3.473	2.8806
23	3.4727	2.8808
24	3.4726	2.8818
25	3.4722	2.8803
26	3.4718	2.8803
27	3.4713	2.8778
28	3.4708	2.8773
29	3.47	2.8777
30	3.4685	2.874
31	3.466	2.8723
32	3.4617	2.867
33	3.4555	2.86
34	3.4464	2.8524
35	3.4336	2.8388
36	3.4134	2.8127
37	3.3825	2.78
38	3.3167	2.6992
39	3.2065	2.5486
40	3.0214	2.2939
41	2.8183	2.0014
42	2.6671	1.816
43	2.5836	1.7212
44	2.5331	1.6802
45	2.5	1.6356
46	2.4836	1.6207
47	2.4592	1.6087
48	2.4334	1.5869
49	2.3853	1.5517
50	2.3683	1.5463
51	2.3467	1.5314
52	2.334	1.5272
53	2.3218	1.5145
54	2.3003	1.4917
55	2.2906	1.4851
56	2.2792	1.4742
57	2.2696	1.4636
58	2.2593	1.4527
59	2.2508	1.4506
60	2.244	1.4435
61	2.2368	1.4307
62	2.2211	1.4133
63	2.2095	1.4092
64	2.199	1.4003
65	2.1908	1.3932
66	2.1721	1.3755
67	2.1642	1.3735
68	2.187	1.4452
69	2.0991	1.3305
70	2.0528	1.3101
71	2.0232	1.2856
72	2.009	1.2952
73	1.9714	1.2611
74	1.9644	1.261
75	1.9256	1.2169
76	1.9091	1.1957
77	1.9221	1.2142
78	1.8784	1.1834
79	1.9716	1.3016
80	1.8909	1.1929
81	1.8387	1.1524
82	1.8467	1.1824
83	1.8067	1.1343
84	1.7883	1.1174
85	1.7724	1.1075
86	1.7586	1.0994
87	1.7479	1.0938
88	1.752	1.1066
89	1.7289	1.0877
90	1.8256	1.1696
91	1.718	1.0772
92	1.7243	1.093
93	1.7108	1.0895
94	1.6841	1.0572
95	1.6751	1.0489
96	1.6657	1.041
97	1.6935	1.0907
98	1.7156	1.1132
99	1.677	1.0617
100	1.6748	1.0467
101	1.6422	1.0248
102	1.6292	1.0181
103	1.6187	1.0119
104	1.6161	1.0077
105	1.6047	1.0034
106	1.6423	1.0546
107	1.6017	1.0094
108	1.597	1.0099
109	1.5886	0.9871
110	1.6011	1.0013
111	1.584	0.985
112	1.5776	0.9819
113	1.5627	0.9721
114	1.5525	0.9694
115	1.5672	0.9757
116	1.5501	0.9718
117	1.5564	0.9736
118	1.5331	0.9606
