epoch:	train_RMSD:	train_MAE:
0	7.0257	6.1157
1	6.44	5.4419
2	4.6517	3.3953
3	4.1168	2.9531
4	3.9019	2.848
5	3.749	2.8109
6	3.6326	2.8046
7	3.5493	2.815
8	3.5008	2.8338
9	3.4804	2.853
10	3.4741	2.8686
11	3.4732	2.8786
12	3.4733	2.8829
13	3.4734	2.8841
14	3.4734	2.8833
15	3.4734	2.8833
16	3.4733	2.8821
17	3.4731	2.8793
18	3.4731	2.8793
19	3.4732	2.8819
20	3.4732	2.8816
21	3.4731	2.8801
22	3.473	2.8804
23	3.4727	2.8797
24	3.4725	2.8806
25	3.4722	2.8796
26	3.4718	2.8799
27	3.4713	2.8778
28	3.4708	2.8775
29	3.47	2.8779
30	3.4686	2.8748
31	3.4661	2.8723
32	3.4618	2.867
33	3.4557	2.8612
34	3.4464	2.8532
35	3.4334	2.8402
36	3.4119	2.8144
37	3.3775	2.7738
38	3.3116	2.6937
39	3.2157	2.572
40	3.0534	2.3457
41	2.8628	2.0737
42	2.7033	1.8701
43	2.6024	1.7449
44	2.5492	1.6945
45	2.5123	1.6541
46	2.4963	1.6412
47	2.472	1.6176
48	2.4466	1.6036
49	2.411	1.5803
50	2.3854	1.5603
51	2.3727	1.544
52	2.3669	1.5455
53	2.3548	1.5314
54	2.3414	1.5249
55	2.3229	1.5017
56	2.3247	1.5188
57	2.2969	1.4848
58	2.2825	1.4715
59	2.2731	1.4675
60	2.2682	1.4649
61	2.2522	1.4394
62	2.2429	1.4283
63	2.2299	1.4197
64	2.2191	1.4112
65	2.2099	1.4118
66	2.1871	1.395
67	2.1621	1.3814
68	2.1416	1.3865
69	2.092	1.342
70	2.0625	1.3275
71	2.0729	1.3251
72	2.01	1.2761
73	1.9899	1.2685
74	1.9695	1.248
75	1.9459	1.2287
76	1.9332	1.2247
77	1.9131	1.1976
78	1.9253	1.2116
79	1.8768	1.1773
80	1.9146	1.2115
81	1.863	1.1673
82	1.866	1.1921
83	1.8185	1.133
84	1.8269	1.1487
85	1.8041	1.1268
86	1.7893	1.1296
87	1.7667	1.1042
88	1.8017	1.145
89	1.7603	1.1013
90	1.7691	1.1097
91	1.7406	1.0933
92	1.7933	1.1642
93	1.7308	1.0846
94	1.7344	1.091
95	1.6979	1.0614
96	1.6873	1.0565
97	1.7008	1.0819
98	1.7833	1.1751
99	1.6846	1.0624
100	1.6784	1.0487
101	1.6633	1.0377
102	1.6467	1.029
103	1.638	1.026
104	1.6308	1.0202
105	1.645	1.0404
106	1.6568	1.06
107	1.613	1.0066
108	1.6164	1.0126
109	1.663	1.0508
110	1.6592	1.0477
111	1.6105	1.0084
112	1.595	0.9953
113	1.5954	0.9949
114	1.589	0.9934
115	1.6189	1.0195
116	1.5846	0.9985
117	1.5929	1.0081
118	1.5572	0.9711
