epoch:	train_RMSD:	train_MAE:
0	6.9227	6.3043
1	6.5571	5.925
2	4.9385	4.2855
3	4.0379	3.4454
4	3.758	3.1989
5	3.5754	3.0409
6	3.4318	2.9148
7	3.3184	2.8122
8	3.2332	2.7292
9	3.1799	2.6704
10	3.1521	2.6322
11	3.1402	2.6096
12	3.1361	2.5973
13	3.135	2.5914
14	3.1348	2.5895
15	3.1348	2.5891
16	3.1348	2.5897
17	3.1349	2.5909
18	3.1349	2.5914
19	3.1351	2.5925
20	3.135	2.5925
21	3.1349	2.5921
22	3.1347	2.5913
23	3.1345	2.5912
24	3.1342	2.5921
25	3.1334	2.5903
26	3.1323	2.5901
27	3.1302	2.5891
28	3.1264	2.5846
29	3.1226	2.5829
30	3.118	2.5765
31	3.1143	2.5738
32	3.1095	2.5695
33	3.0998	2.5606
34	3.0797	2.5441
35	3.0441	2.5107
36	3.0002	2.4708
37	2.9413	2.4143
38	2.8702	2.3467
39	2.762	2.2456
40	2.6154	2.111
41	2.4565	1.9662
42	2.3532	1.8414
43	2.2798	1.76
44	2.248	1.6972
45	2.2028	1.6685
46	2.1764	1.6369
47	2.1544	1.6211
48	2.1392	1.6118
49	2.1223	1.5995
50	2.1082	1.589
51	2.0927	1.5742
52	2.0773	1.5532
53	2.0655	1.5461
54	2.051	1.5275
55	2.0379	1.5176
56	2.0374	1.5098
57	2.0191	1.5088
58	2.0329	1.5298
59	2.0012	1.4901
60	1.9938	1.4787
61	1.9868	1.487
62	1.9993	1.4755
63	1.9625	1.4719
64	1.9182	1.4361
65	1.9179	1.4503
66	1.8306	1.3769
67	1.7866	1.3408
68	1.7346	1.2979
69	1.8126	1.3675
70	1.7447	1.2968
71	1.7479	1.2958
72	1.7383	1.3008
73	1.7731	1.3151
74	1.745	1.3184
75	1.7075	1.2672
76	1.65	1.2321
77	1.6224	1.2058
78	1.6343	1.2078
79	1.6625	1.2298
80	1.6035	1.1941
81	1.6058	1.2005
82	1.59	1.1793
83	1.5923	1.1833
84	1.6093	1.1995
85	1.5827	1.1661
86	1.5802	1.1686
87	1.6049	1.1965
88	1.6107	1.1897
89	1.5945	1.1883
90	1.5752	1.1649
91	1.5438	1.1441
92	1.5332	1.1307
93	1.544	1.151
94	1.5226	1.1257
95	1.5223	1.12
96	1.5314	1.129
97	1.52	1.1264
98	1.5095	1.115
99	1.5038	1.1081
100	1.5151	1.1159
101	1.5118	1.122
102	1.4893	1.0933
103	1.5066	1.1025
104	1.5048	1.1096
105	1.4731	1.0804
106	1.4697	1.0782
107	1.4794	1.0867
108	1.5046	1.115
109	1.4648	1.0698
110	1.4652	1.075
111	1.4879	1.0967
112	1.461	1.0838
113	1.4477	1.0608
114	1.4456	1.0542
115	1.4397	1.0532
116	1.4327	1.0473
117	1.4347	1.0503
118	1.4302	1.0495
119	1.4203	1.0347
120	1.4414	1.0514
121	1.4327	1.0536
122	1.4124	1.0334
123	1.4103	1.0304
124	1.4068	1.0309
125	1.3996	1.0204
126	1.402	1.0192
127	1.4007	1.0176
128	1.3888	1.0075
129	1.3897	1.0138
130	1.4411	1.0578
131	1.3908	1.0175
132	1.3827	1.0044
133	1.3775	0.9996
134	1.3722	1.0028
135	1.3661	0.9922
136	1.3622	0.9883
137	1.3579	0.9849
138	1.3615	0.9866
139	1.3877	1.0129
140	1.3456	0.9766
141	1.3637	1.002
142	1.3615	0.9935
143	1.3563	0.984
144	1.3374	0.9731
145	1.3389	0.9779
146	1.3688	1.0064
147	1.3563	0.9876
148	1.3677	0.999
149	1.3266	0.9586
150	1.3232	0.9579
151	1.3075	0.9424
152	1.3156	0.9478
153	1.309	0.9445
154	1.3131	0.9591
155	1.2936	0.932
156	1.3151	0.9508
157	1.3104	0.9472
158	1.3404	0.9726
159	1.2896	0.9399
160	1.2775	0.9165
161	1.2937	0.9315
162	1.2802	0.9233
163	1.2825	0.9217
164	1.262	0.9065
165	1.2805	0.927
166	1.2662	0.9192
167	1.2765	0.9206
168	1.2666	0.9107
