epoch:	train_RMSD:	train_MAE:
0	6.9227	6.3043
1	6.5571	5.925
2	4.9385	4.2855
3	4.0379	3.4454
4	3.758	3.1989
5	3.5754	3.0409
6	3.4318	2.9148
7	3.3184	2.8122
8	3.2332	2.7292
9	3.1799	2.6704
10	3.1521	2.6322
11	3.1402	2.6096
12	3.1361	2.5973
13	3.135	2.5914
14	3.1348	2.5895
15	3.1348	2.5892
16	3.1348	2.5896
17	3.1349	2.5908
18	3.1349	2.5914
19	3.1351	2.5925
20	3.135	2.5925
21	3.1349	2.5927
22	3.1344	2.591
23	3.1339	2.5907
24	3.1331	2.591
25	3.1313	2.5888
26	3.1282	2.587
27	3.1224	2.5827
28	3.1121	2.5726
29	3.0977	2.5596
30	3.0813	2.5422
31	3.064	2.529
32	3.0394	2.5039
33	3.0081	2.4746
34	2.9665	2.4338
35	2.9156	2.3866
36	2.8545	2.3249
37	2.7987	2.2675
38	2.7161	2.1958
39	2.6197	2.1022
40	2.4844	1.9814
41	2.3697	1.8671
42	2.2938	1.7685
43	2.2379	1.7163
44	2.2043	1.657
45	2.1755	1.6465
46	2.151	1.6237
47	2.1308	1.6034
48	2.1292	1.6092
49	2.1059	1.5789
50	2.0978	1.5708
51	2.0903	1.568
52	2.0813	1.5542
53	2.0841	1.5654
54	2.0723	1.5501
55	2.0741	1.5549
56	2.067	1.5468
57	2.0657	1.549
58	2.0575	1.5366
59	2.0539	1.5263
60	2.0445	1.5213
61	2.0328	1.5188
62	2.0237	1.5103
63	2.0101	1.4834
64	2.0405	1.5344
65	1.9748	1.4605
66	1.9449	1.4218
67	1.8782	1.3836
68	1.8551	1.3521
69	1.8464	1.379
70	1.8885	1.4206
71	1.7838	1.3143
72	1.7634	1.302
73	1.819	1.3673
74	1.7262	1.2675
75	1.7131	1.2578
76	1.6938	1.2423
77	1.7141	1.252
78	1.6811	1.2294
79	1.6628	1.2164
80	1.6824	1.2273
81	1.659	1.2186
82	1.6364	1.2012
83	1.6232	1.1902
84	1.631	1.1987
85	1.6082	1.1784
86	1.597	1.1718
87	1.5768	1.1538
88	1.5738	1.1529
89	1.5648	1.1461
90	1.6025	1.1822
91	1.5542	1.1397
92	1.5708	1.1493
93	1.5414	1.136
94	1.5287	1.1169
95	1.5342	1.1257
96	1.5158	1.1127
97	1.5324	1.1337
98	1.506	1.1023
99	1.4974	1.0937
100	1.5609	1.1483
101	1.5031	1.1099
102	1.4909	1.0883
103	1.4896	1.0861
104	1.4862	1.0946
105	1.4766	1.0814
106	1.4678	1.0729
107	1.4667	1.0743
108	1.5023	1.1083
109	1.4617	1.065
110	1.4613	1.067
111	1.5139	1.1111
112	1.4803	1.085
113	1.4985	1.0938
114	1.4451	1.0555
115	1.4778	1.083
116	1.4522	1.0594
117	1.4411	1.0499
118	1.4505	1.06
119	1.4255	1.04
120	1.5004	1.1008
121	1.4327	1.0534
122	1.4534	1.0676
123	1.4172	1.0313
124	1.4475	1.0624
125	1.4206	1.0368
126	1.4362	1.0576
127	1.4046	1.0217
128	1.4014	1.0186
129	1.4576	1.0705
130	1.3932	1.013
131	1.401	1.02
132	1.3954	1.0169
133	1.3807	1.0024
134	1.3882	1.0146
135	1.3751	0.9969
136	1.3695	0.9919
137	1.3683	0.9898
138	1.3716	0.9957
139	1.4131	1.0364
140	1.3586	0.9842
141	1.3689	0.9916
142	1.361	0.9864
143	1.3547	0.9813
144	1.3554	0.9882
145	1.3387	0.9657
146	1.37	0.9919
147	1.3668	0.9908
148	1.3859	1.0099
149	1.3465	0.9761
150	1.3372	0.969
151	1.325	0.9562
152	1.3195	0.9503
153	1.328	0.957
154	1.3084	0.9425
155	1.3154	0.9477
156	1.3343	0.9654
157	1.3146	0.9458
158	1.308	0.9397
159	1.3326	0.9706
160	1.2966	0.9304
161	1.3488	0.9826
162	1.2844	0.9201
163	1.2936	0.9267
164	1.2906	0.9225
165	1.2697	0.9038
166	1.3068	0.9426
167	1.2717	0.9077
168	1.2629	0.8968
