epoch:	train_RMSD:	train_MAE:
0	6.9227	6.3043
1	6.5571	5.925
2	4.9385	4.2855
3	4.0379	3.4454
4	3.758	3.1989
5	3.5754	3.0409
6	3.4318	2.9148
7	3.3184	2.8122
8	3.2332	2.7292
9	3.1799	2.6704
10	3.1521	2.6322
11	3.1402	2.6096
12	3.1361	2.5973
13	3.135	2.5914
14	3.1348	2.5895
15	3.1348	2.5891
16	3.1348	2.5897
17	3.1349	2.5909
18	3.135	2.5914
19	3.1351	2.5925
20	3.135	2.5925
21	3.1349	2.5921
22	3.1347	2.5913
23	3.1345	2.5913
24	3.1343	2.5923
25	3.1334	2.5904
26	3.1323	2.5903
27	3.1301	2.5883
28	3.1262	2.5849
29	3.1217	2.5816
30	3.1173	2.5759
31	3.1125	2.5713
32	3.1039	2.5634
33	3.0884	2.5501
34	3.0598	2.5236
35	3.0239	2.4904
36	2.9633	2.4365
37	2.8928	2.3671
38	2.8006	2.2801
39	2.7016	2.1837
40	2.5162	2.0244
41	2.4064	1.9013
42	2.3197	1.8002
43	2.2635	1.7412
44	2.2269	1.6773
45	2.1911	1.6524
46	2.1645	1.6242
47	2.1425	1.6101
48	2.1283	1.6035
49	2.1172	1.5954
50	2.1113	1.5938
51	2.0897	1.5695
52	2.0788	1.5484
53	2.0667	1.549
54	2.0525	1.525
55	2.0366	1.5173
56	2.0424	1.5099
57	2.0164	1.4956
58	2.0072	1.4974
59	1.9987	1.4915
60	1.9851	1.4797
61	1.9741	1.4684
62	1.9615	1.4644
63	1.9299	1.4447
64	1.8598	1.3836
65	1.8482	1.3991
66	1.7915	1.3482
67	1.7726	1.3378
68	1.7697	1.3197
69	1.7128	1.2857
70	1.7083	1.2821
71	1.6739	1.2545
72	1.6922	1.2721
73	1.6593	1.2363
74	1.6474	1.2268
75	1.6446	1.2321
76	1.6195	1.2023
77	1.6674	1.2524
78	1.6974	1.2648
79	1.6062	1.1989
80	1.5908	1.1798
81	1.581	1.1725
82	1.5772	1.1681
83	1.5743	1.1647
84	1.5849	1.1759
85	1.5583	1.152
86	1.5664	1.1567
87	1.586	1.1783
88	1.571	1.1598
89	1.5864	1.1796
90	1.5528	1.1417
91	1.5287	1.1285
92	1.5177	1.1149
93	1.5166	1.1197
94	1.5117	1.1049
95	1.5023	1.1026
96	1.5086	1.1112
97	1.5034	1.1046
98	1.4945	1.0947
99	1.4846	1.0877
100	1.4917	1.094
101	1.4814	1.0882
102	1.4733	1.0752
103	1.4734	1.0757
104	1.4842	1.0957
105	1.4604	1.0656
106	1.458	1.0637
107	1.4531	1.0642
108	1.4876	1.0937
109	1.4486	1.0565
110	1.462	1.0708
111	1.5166	1.1183
112	1.4392	1.0546
113	1.4495	1.0586
114	1.4363	1.0481
115	1.4453	1.0576
116	1.4221	1.0353
117	1.4354	1.048
118	1.4146	1.0323
119	1.4184	1.034
120	1.4628	1.0747
121	1.435	1.0594
122	1.4061	1.0235
123	1.4099	1.0257
124	1.395	1.0133
125	1.3927	1.0142
126	1.4029	1.0202
127	1.3989	1.0212
128	1.3887	1.0122
129	1.3801	1.0035
130	1.4528	1.0675
131	1.404	1.0284
132	1.3791	1.002
133	1.393	1.0128
134	1.3775	1.009
135	1.3661	0.9933
136	1.3671	0.992
137	1.3751	1.0023
138	1.3575	0.9838
139	1.3634	0.9933
140	1.3727	0.9949
141	1.3662	0.9925
142	1.3541	0.9802
143	1.364	0.9943
144	1.349	0.9856
145	1.3386	0.9735
146	1.3623	0.9942
147	1.3554	0.9842
148	1.3934	1.0171
149	1.3353	0.9747
150	1.3268	0.9592
151	1.3274	0.9602
152	1.322	0.9566
153	1.32	0.9534
154	1.3118	0.9516
155	1.3175	0.9513
156	1.317	0.9506
157	1.3137	0.9479
158	1.3578	0.9837
159	1.3141	0.9637
160	1.3036	0.942
161	1.298	0.9357
162	1.322	0.9572
163	1.2929	0.9357
164	1.3096	0.9551
165	1.2878	0.929
166	1.275	0.9207
167	1.2862	0.9304
168	1.2809	0.9291
