epoch:	train_RMSD:	train_MAE:
2	4.9385	4.2855
3	4.0379	3.4454
0	6.9227	6.3043
4	3.758	3.1989
1	6.5571	5.925
5	3.5754	3.0409
6	3.4318	2.9148
2	4.9385	4.2855
7	3.3184	2.8122
3	4.0379	3.4454
8	3.2332	2.7292
4	3.758	3.1989
9	3.1799	2.6704
10	3.1521	2.6322
5	3.5754	3.0409
11	3.1402	2.6096
6	3.4318	2.9148
12	3.1361	2.5973
13	3.135	2.5914
7	3.3184	2.8122
14	3.1348	2.5895
8	3.2332	2.7292
15	3.1348	2.5891
16	3.1348	2.5897
9	3.1799	2.6704
17	3.1349	2.5908
10	3.1521	2.6322
18	3.1349	2.5914
19	3.1351	2.5925
11	3.1402	2.6096
20	3.135	2.5925
12	3.1361	2.5973
21	3.1349	2.5927
22	3.1345	2.591
13	3.135	2.5914
23	3.134	2.5906
14	3.1348	2.5895
24	3.1332	2.5911
15	3.1348	2.5892
25	3.1315	2.5892
16	3.1348	2.5896
26	3.1286	2.5878
17	3.1349	2.5908
27	3.1231	2.5824
18	3.1349	2.5914
28	3.1137	2.5745
19	3.1351	2.5925
29	3.0993	2.5619
20	3.135	2.5925
30	3.0814	2.5441
21	3.1349	2.5927
31	3.0605	2.5251
32	3.0295	2.497
22	3.1344	2.591
33	2.9899	2.4598
23	3.1339	2.5907
34	2.948	2.4191
24	3.1331	2.591
35	2.9004	2.3713
25	3.1313	2.5888
36	2.8351	2.3078
26	3.1282	2.5871
37	2.743	2.2226
38	2.6359	2.121
27	3.1223	2.5827
39	2.5018	1.9985
28	3.1124	2.5747
40	2.3898	1.8858
41	2.3103	1.7942
29	3.0965	2.5583
42	2.2526	1.7195
30	3.0778	2.5395
43	2.2128	1.6894
31	3.0555	2.5193
44	2.1843	1.6374
32	3.0251	2.4913
45	2.1584	1.6321
33	2.9908	2.4576
46	2.136	1.6085
34	2.955	2.4222
47	2.1191	1.5909
35	2.9165	2.3843
48	2.1188	1.5997
36	2.8755	2.3412
49	2.1014	1.5769
50	2.0912	1.565
37	2.8152	2.2831
51	2.0838	1.56
38	2.7202	2.2026
52	2.0764	1.5504
39	2.6071	2.0958
53	2.0815	1.5646
40	2.4729	1.9688
54	2.0678	1.5439
55	2.0683	1.5507
41	2.3621	1.8574
56	2.0614	1.5432
42	2.2839	1.7646
57	2.0609	1.5476
58	2.0501	1.5318
43	2.2321	1.7161
59	2.0439	1.5166
44	2.198	1.6536
60	2.0315	1.5115
45	2.172	1.6485
61	2.0285	1.5183
46	2.1464	1.6206
62	2.0121	1.4963
47	2.1273	1.5998
63	2.0005	1.4677
48	2.1259	1.6062
64	1.9811	1.4711
49	2.1054	1.5796
65	1.9718	1.4713
66	1.8983	1.3936
50	2.0964	1.5698
67	1.874	1.3875
51	2.0887	1.5672
68	1.8191	1.3418
52	2.0809	1.5569
69	1.8272	1.3574
53	2.0848	1.568
70	1.8017	1.3235
54	2.073	1.5491
71	1.7871	1.3126
55	2.0765	1.5581
72	1.775	1.3149
56	2.0691	1.5496
73	1.7736	1.3189
57	2.0682	1.5504
74	1.7648	1.2883
75	1.7387	1.2821
58	2.0605	1.5361
76	1.7238	1.2587
59	2.0633	1.5302
77	1.7002	1.25
60	2.0487	1.5281
78	1.6883	1.2351
79	1.7037	1.2399
61	2.0381	1.5229
80	1.6854	1.2294
62	2.0249	1.5109
81	1.663	1.2263
82	1.6489	1.2122
63	2.0152	1.4902
83	1.6264	1.1879
64	2.0194	1.5113
84	1.614	1.1805
85	1.609	1.1794
